section	file	purpose
mapping	geno_calls.vcf	Record-major GT/PS with mixed phase, partial missing, absent GT, duplicate sites and wide allele indices
mapping	format_string_list.vcf	FORMAT string list example for Number=. fields such as DRAGEN LAA
mapping	fixed_count_arrays.vcf	Exact fixed-cardinality INFO/FORMAT arrays for Number=2 and Number=4
mapping	mapping_number_families.vcf	Representative Number=1/A/R/G/. mappings across INFO and FORMAT fields
mapping	parallel_empty_contigs.vcf	Indexed parallel-scan regression with leading empty contigs before live records
mapping	bcf_scan_contigs.vcf	Multi-contig scan, duplicate records, and header/index dictionary order regression
mapping	bcf_literal_contigs.vcf	Indexed full scans use literal contig IDs rather than ambiguous region expressions
mapping	phased_genotype_fields.vcf	Phased and arbitrary-ploidy GT plus PL/GP/DS/PS FORMAT fields for normalization/liftover contract tests
mapping	genotype_ploidy_edge_cases.vcf	Compact GT-only haploid/phased/polyploid/large-allele fixture for read_bcf projection tests
mapping	tidy_chunk_boundary.vcf	Single-record 2053-sample fixture that exercises GT and CSQ record ownership across DuckDB output chunks
mapping	test_vep_tidy.vcf	Compact CSQ plus two-sample FORMAT fixture for read_bcf VEP-cache reuse across tidy sample rows
mapping	duckvep/minimal_bcsq.vcf	Tiny BCSQ-tagged fixture for DuckVEP/csq parser and DuckDB exact/range join plumbing
regression	bcf_filter_list_regression.vcf	read_bcf FILTER list-materialization regression for multi-entry and PASS values
regression	malformed_bad_pos.vcf	Valid first record followed by malformed POS to verify BCF/VCF scan errors are surfaced instead of treated as EOF
regression	bcf_cache_lifecycle.vcf	Synthetic three-record cache reset, missing fields, growing FORMAT arrays, ploidy and CSQ descriptor reuse
spec	spec_standard_corrections.vcf	Nonstandard Number declarations remain header-faithful without implicit schema repair
mapping	geno_format.vcf	Selected FORMAT values retain sample and allele ordinals, missing items, absent GT and physical duplicates
spec	bcf_scalar_counts.vcf	Numeric scalar overflow, missing elements, list controls and per-record recovery
mapping	geno_format_case.vcf	Case-sensitive FORMAT tag identity and case-insensitive DuckDB member collisions
